"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","nation","govern","will","year","busi","will","parti","famili","will","govern"
"2","freedom","power","state","presid","law","countri","say","job","american","must"
"3","peac","constitut","peopl","congress","parti","peopl","republican","work","america","world"
"4","free","union","nation","well","republican","don","presid","tax","can","shall"
"5","god","one","upon","program","trade","get","democrat","children","new","nation"
"6","men","may","countri","govern","one","want","state","presid","peopl","war"
